"Radius (Computed location);""Longitude (Computed location)"";""Latitude (Computed location)"";""Source (Computed location)"";""Country"";""Data"";""Link Quality Indicator"";""Link Quality Indicator repeaters"";""Operator"";""RSSI1 (Receiver info)"";""NapmId1 (Receiver info)"";""Station ID1 (Receiver info)"";""GetRssiRepeaters2Display1 (Receiver info)"";""Delay1 (Receiver info)"";""RSSI2 (Receiver info)"";""NapmId2 (Receiver info)"";""Station ID2 (Receiver info)"";""GetRssiRepeaters2Display2 (Receiver info)"";""Delay2 (Receiver info)"";""RSSI3 (Receiver info)"";""NapmId3 (Receiver info)"";""Station ID3 (Receiver info)"";""GetRssiRepeaters2Display3 (Receiver info)"";""Delay3 (Receiver info)"";""RSSI4 (Receiver info)"";""NapmId4 (Receiver info)"";""Station ID4 (Receiver info)"";""GetRssiRepeaters2Display4 (Receiver info)"";""Delay4 (Receiver info)"";""Timestamp"""
"6700;""12.51887849160119"";""55.85754044099694"";""Network location"";"""";""0bbc"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-122.00"";""0000"";""29D1"";""N/A"";""1.409"";;;;;;;;;;;;;;;;""2022-01-07 09:41:19"""
"7600;""12.518105873834545"";""55.856528701982434"";""Network location"";"""";""0bbe"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-125.00"";""0000"";""29D1"";""N/A"";""0.9"";;;;;;;;;;;;;;;;""2022-01-07 05:39:30"""
"7600;""12.517136708885687"";""55.85742817831603"";""Network location"";"""";""0bc5"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-128.00"";""0000"";""29D1"";""N/A"";""1.327"";;;;;;;;;;;;;;;;""2022-01-07 01:37:35"""
"5900;""12.517965134984742"";""55.85635428821935"";""Network location"";"""";""0bc9"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-117.00"";""0000"";""29D1"";""N/A"";""0.628"";""-144.00"";""0000"";""23EA"";""N/A"";""1.643"";;;;;;;;;;;""2022-01-06 17:33:23"""
"5400;""12.517891196778633"";""55.85524658099554"";""Network location"";"""";""0bcd"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-116.00"";""0000"";""29D1"";""N/A"";""1.53"";""-142.00"";""0000"";""23EA"";""N/A"";""0.437"";;;;;;;;;;;""2022-01-06 13:31:03"""
"7600;""12.518372566433653"";""55.856349625396675"";""Network location"";"""";""0bd2"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-125.00"";""0000"";""29D1"";""N/A"";""1.323"";;;;;;;;;;;;;;;;""2022-01-06 09:28:52"""
"6900;""12.519262364282893"";""55.855479170811"";""Network location"";"""";""0bd0"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-123.00"";""0000"";""29D1"";""N/A"";""0.901"";;;;;;;;;;;;;;;;""2022-01-06 05:26:59"""
"5500;""12.518560303193203"";""55.85674007210699"";""Network location"";"""";""0bd6"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-118.00"";""0000"";""29D1"";""N/A"";""1.122"";;;;;;;;;;;;;;;;""2022-01-06 01:25:09"""
"7400;""12.520155837792775"";""55.858917384393045"";""Network location"";"""";""0bdd"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-124.00"";""0000"";""29D1"";""N/A"";""2.324"";;;;;;;;;;;;;;;;""2022-01-05 17:20:59"""
"6700;""12.520996068451549"";""55.85700232252079"";""Network location"";"""";""0bdf"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-122.00"";""0000"";""29D1"";""N/A"";""0.976"";;;;;;;;;;;;;;;;""2022-01-05 13:18:54"""
"6700;""12.518335001833307"";""55.856204084172894"";""Network location"";"""";""0bdf"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-122.00"";""0000"";""29D1"";""N/A"";""0.887"";;;;;;;;;;;;;;;;""2022-01-05 09:16:28"""
"7600;""12.518302072556446"";""55.783625777057"";""Network location"";"""";""0bea"";""Limit"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-144.00"";""0000"";""23EA"";""N/A"";""1.328"";;;;;;;;;;;;;;;;""2022-01-05 01:12:34"""
"4500;""12.519034035606774"";""55.85625113506279"";""Network location"";"""";""0bec"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-113.00"";""0000"";""29D1"";""N/A"";""1.546"";;;;;;;;;;;;;;;;""2022-01-04 21:10:10"""
"6300;""12.520509054769047"";""55.855872693051346"";""Network location"";"""";""0bee"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-131.00"";""0000"";""29D1"";""N/A"";""1.395"";;;;;;;;;;;;;;;;""2022-01-04 09:02:39"""
"5700;""12.51856051695578"";""55.85537003189468"";""Network location"";"""";""0bf1"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-125.00"";""0000"";""29D1"";""N/A"";""1.619"";;;;;;;;;;;;;;;;""2022-01-04 05:00:44"""
"5700;""12.517504533049669"";""55.85676155962718"";""Network location"";"""";""0bf7"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-130.00"";""0000"";""29D1"";""N/A"";""0.943"";;;;;;;;;;;;;;;;""2022-01-04 00:58:48"""
