"Radius (Computed location);""Longitude (Computed location)"";""Latitude (Computed location)"";""Source (Computed location)"";""Country"";""Data"";""Link Quality Indicator"";""Link Quality Indicator repeaters"";""Operator"";""RSSI1 (Receiver info)"";""NapmId1 (Receiver info)"";""Station ID1 (Receiver info)"";""GetRssiRepeaters2Display1 (Receiver info)"";""Delay1 (Receiver info)"";""RSSI2 (Receiver info)"";""NapmId2 (Receiver info)"";""Station ID2 (Receiver info)"";""GetRssiRepeaters2Display2 (Receiver info)"";""Delay2 (Receiver info)"";""RSSI3 (Receiver info)"";""NapmId3 (Receiver info)"";""Station ID3 (Receiver info)"";""GetRssiRepeaters2Display3 (Receiver info)"";""Delay3 (Receiver info)"";""RSSI4 (Receiver info)"";""NapmId4 (Receiver info)"";""Station ID4 (Receiver info)"";""GetRssiRepeaters2Display4 (Receiver info)"";""Delay4 (Receiver info)"";""Timestamp"""
"4600;""12.595662669724788"";""55.701899598518125"";""Network location"";"""";""0bf7"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-121.00"";""0000"";""23E8"";""N/A"";""1.152"";;;;;;;;;;;;;;;;""2022-02-22 00:22:23"""
"4500;""12.597275259896012"";""55.701794516824"";""Network location"";"""";""0c07"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-119.00"";""0000"";""23E8"";""N/A"";""1.392"";;;;;;;;;;;;;;;;""2022-02-21 12:13:49"""
"4500;""12.596661056705054"";""55.69961396951771"";""Network location"";"""";""0c17"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-120.00"";""0000"";""23E8"";""N/A"";""0.992"";;;;;;;;;;;;;;;;""2022-02-21 00:05:21"""
"4400;""12.596013041711556"";""55.7015709519943"";""Network location"";"""";""0c1c"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-118.00"";""0000"";""23E8"";""N/A"";""1.255"";;;;;;;;;;;;;;;;""2022-02-20 20:02:35"""
"4600;""12.597061720202431"";""55.7026350815409"";""Network location"";"""";""0c29"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-119.00"";""0000"";""23E8"";""N/A"";""1.293"";;;;;;;;;;;;;;;;""2022-02-20 11:56:53"""
"4300;""12.597122129427214"";""55.703791333333946"";""Network location"";"""";""0c2e"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-113.00"";""0000"";""23E8"";""N/A"";""0.479"";;;;;;;;;;;;;;;;""2022-02-20 07:54:06"""
"4500;""12.59646911462535"";""55.70376181766909"";""Network location"";"""";""0c35"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-118.00"";""0000"";""23E8"";""N/A"";""1.052"";;;;;;;;;;;;;;;;""2022-02-20 03:51:17"""
"4300;""12.59658498319389"";""55.70071658554333"";""Network location"";"""";""0c3a"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-115.00"";""0000"";""23E8"";""N/A"";""0.821"";;;;;;;;;;;;;;;;""2022-02-19 23:48:25"""
"4400;""12.596672200554655"";""55.702120535805044"";""Network location"";"""";""0c3e"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-118.00"";""0000"";""23E8"";""N/A"";""2.182"";;;;;;;;;;;;;;;;""2022-02-19 19:45:41"""
"4500;""12.596354166367698"";""55.70003448353538"";""Network location"";"""";""0c45"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-120.00"";""0000"";""23E8"";""N/A"";""0.893"";;;;;;;;;;;;;;;;""2022-02-19 15:42:55"""
