Ack required;Radius (Computed location);Longitude (Computed location);Latitude (Computed location);Source (Computed location);Country;Data;Device ID;Data1 (Downlink answer status);Data2 (Downlink answer status);Data3 (Downlink answer status);Data4 (Downlink answer status);Data5 (Downlink answer status);Downlink client status;Link Quality Indicator;Link Quality Indicator repeaters;Operator;RSSI1 (Receiver info);NapmId1 (Receiver info);Station ID1 (Receiver info);GetRssiRepeaters2Display1 (Receiver info);Delay1 (Receiver info);RSSI2 (Receiver info);NapmId2 (Receiver info);Station ID2 (Receiver info);GetRssiRepeaters2Display2 (Receiver info);Delay2 (Receiver info);RSSI3 (Receiver info);NapmId3 (Receiver info);Station ID3 (Receiver info);GetRssiRepeaters2Display3 (Receiver info);Delay3 (Receiver info);RSSI4 (Receiver info);NapmId4 (Receiver info);Station ID4 (Receiver info);GetRssiRepeaters2Display4 (Receiver info);Delay4 (Receiver info);Rollover counter;Sequence number;Timestamp
FALSE;15600;8.991.674.605.078.100;47.660.182.788.886.200;Network location;;0bc7;00C16E35;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-141.00;0;DEF2;N/A;1.753;;;;;;;;;;;;;;;;0;231;19/12/2021 06.45
FALSE;10800;899.170.322.547.287;4.766.017.500.270.920;Network location;;0bcb;00C16E35;;;;;;;Average;N/A;SIGFOX_Switzerland_Heliot;-134.00;0;DEF2;N/A;01.39;;;;;;;;;;;;;;;;0;230;19/12/2021 02.45
FALSE;11800;8.992.283.173.220.260;4.766.072.930.205.690;Network location;;0bd0;00C16E35;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-135.00;0;DEF2;N/A;01.09;;;;;;;;;;;;;;;;0;229;18/12/2021 22.46
FALSE;14300;8.991.947.408.282.310;4.766.101.602.083.400;Network location;;0bd4;00C16E35;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-138.00;0;DEF2;N/A;1.467;;;;;;;;;;;;;;;;0;225;18/12/2021 06.46
FALSE;14300;899.301.842.639.119;47.660.159.703.239.000;Network location;;0bdd;00C16E35;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-138.00;0;DEF2;N/A;01.42;;;;;;;;;;;;;;;;0;224;18/12/2021 02.46
FALSE;10800;8.992.496.016.841.890;47.659.915.215.568.000;Network location;;0bdd;00C16E35;;;;;;;Average;N/A;SIGFOX_Switzerland_Heliot;-134.00;0;DEF2;N/A;1.248;;;;;;;;;;;;;;;;0;223;17/12/2021 22.46
FALSE;12100;8.991.849.510.189.450;4.765.901.693.140.660;Network location;;0bda;00C16E35;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-136.00;0;DEF2;N/A;0,502777778;;;;;;;;;;;;;;;;0;219;17/12/2021 06.47
FALSE;13200;8.992.256.993.631.130;4.765.981.627.035.790;Network location;;0bf1;00C16E35;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-137.00;0;DEF2;N/A;1.662;;;;;;;;;;;;;;;;0;214;16/12/2021 10.48
FALSE;14300;8.992.300.012.361.130;4.765.944.622.302.010;Network location;;0bec;00C16E35;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-138.00;0;DEF2;N/A;0,636805556;;;;;;;;;;;;;;;;0;213;16/12/2021 06.48
FALSE;12100;8.992.959.350.440.440;4.765.964.274.251.060;Network location;;0bf3;00C16E35;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-136.00;0;DEF2;N/A;1.521;;;;;;;;;;;;;;;;0;212;16/12/2021 02.48
FALSE;12100;8.991.630.963.495.620;47.659.341.623.008.500;Network location;;0c03;00C16E35;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-136.00;0;DEF2;N/A;1.721;;;;;;;;;;;;;;;;0;208;15/12/2021 10.48
FALSE;11800;8.991.426.448.623.410;476.612.365.460.716;Network location;;0c07;00C16E35;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-135.00;0;DEF2;N/A;0,284027778;;;;;;;;;;;;;;;;0;206;15/12/2021 02.48
FALSE;10000;899.397.500.346.166;4.766.073.026.632.940;Network location;;0c12;00C16E35;;;;;;;Average;N/A;SIGFOX_Switzerland_Heliot;-133.00;0;DEF2;N/A;2.156;;;;;;;;;;;;;;;;0;204;14/12/2021 18.49
FALSE;6700;8.990.805.744.570.330;4.766.099.599.587.970;Network location;;0c12;00C16E35;;;;;;;Average;N/A;SIGFOX_Switzerland_Heliot;-125.00;0;DEF2;N/A;1.055;;;;;;;;;;;;;;;;0;202;14/12/2021 10.48
FALSE;10000;8.993.108.059.572.490;4.766.243.384.143.590;Network location;;0c0c;00C16E35;;;;;;;Average;N/A;SIGFOX_Switzerland_Heliot;-133.00;0;DEF2;N/A;1.468;;;;;;;;;;;;;;;;0;201;14/12/2021 06.48
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
